Datums;ĀI kods;ĀI nosaukums;Kopā;Jauni;Pamata diagnoze;Blakus diagnoze;Smaga slimības gaita;t.sk. Invazīva MPV;Vidēja slimības gaita;Miruši;Izrakstīti;Pārvesti;t.sk. uz augstāka līmeņa;t.sk. uz zemāka līmeņa;t.sk. uz tāda paša līmeņa
2022-02-01T00:00:00;801600003-01;Siguldas slimnīca;0;;0;1;0;0;1;0;0;0;4;0;0
2022-02-01T00:00:00;090012101-01;Slimnīca "Ģintermuiža";14;;4;10;0;0;0;;;;;;
2022-02-01T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;6;;;6;;;2;1;1;;;;
2022-02-01T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;5;0;0;5;0;0;1;0;1;0;;;
2022-02-01T00:00:00;900200046-01;Tukuma slimnīca;21;1;21;0;4;2;17;0;0;0;0;0;0
2022-02-01T00:00:00;250000092-01;Vidzemes slimnīca;19;3;19;;;;19;1;6;1;;1;
2022-02-01T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;10;;9;1;;0;10;0;0;0;0;0;0
2022-02-01T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;20;4;18;2;0;0;18;0;4;0;0;0;0
2022-02-02T00:00:00;320200001-01;Aizkraukles slimnīca;5;4;0;5;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;360200027-01;Alūksnes slimnīca;6;6;0;11;0;0;0;0;1;0;0;0;0
2022-02-02T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;15;1;9;6;2;1;13;1;3;0;0;0;0
2022-02-02T00:00:00;400200024-01;Bauskas slimnīca;1;0;1;0;0;0;1;0;1;0;0;0;0
2022-02-02T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;9;4;6;3;;;9;;4;;;;2
2022-02-02T00:00:00;661400011-01;Bērnu psihoneiroloģiskā slimnīca "Ainaži";13;12;13;1;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;420200052-01;Cēsu klīnika;14;3;14;0;1;1;13;0;0;0;0;;0
2022-02-02T00:00:00;050012101-01;Daugavpils psihoneiroloģiskā slimnīca;7;2;3;4;0;0;2;0;0;1;0;0;1
2022-02-02T00:00:00;050012101-02;Daugavpils psihoneiroloģiskās slimnīcas Aknīstes slimnīca;1;0;;1;;;1;;;;;;
2022-02-02T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;83;18;63;20;4;1;59;2;14;;;;
2022-02-02T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-02T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;31;4;27;4;4;2;23;1;0;0;0;0;0
2022-02-02T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;52;8;48;4;11;0;37;3;5;0;0;0;
2022-02-02T00:00:00;130020302-01;Jūrmalas slimnīca;6;1;6;;;;6;1;;;;;
2022-02-02T00:00:00;600200001-01;Krāslavas slimnīca;1;0;;1;0;0;1;0;0;0;0;0;0
2022-02-02T00:00:00;620200038-01;Kuldīgas slimnīca;4;1;4;0;;;4;;1;;;;
2022-02-02T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;24;;24;;;;24;1;;;;;
2022-02-02T00:00:00;170020401-01;Liepājas reģionālā slimnīca;25;0;8;17;0;0;8;1;6;1;1;0;0
2022-02-02T00:00:00;660200027-01;Limbažu slimnīca;7;;0;7;;;0;;;;;;
2022-02-02T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;680200030-01;Ludzas medicīnas centrs;20;3;20;0;0;0;0;0;;0;0;0;0
2022-02-02T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
2022-02-02T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;145;29;94;51;24;9;70;2;14;3;0;1;2
2022-02-02T00:00:00;170010601-01;Piejūras slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;010000234-91;RAKUS kopā;265;37;97;168;23;2;74;1;35;;;;
2022-02-02T00:00:00;210020301-01;Rēzeknes slimnīca;10;5;10;0;0;0;10;1;2;0;0;0;0
2022-02-02T00:00:00;010020302-01;Rīgas 2. slimnīca;18;1;0;18;0;0;0;0;1;0;0;0;0
2022-02-02T00:00:00;010021301-01;Rīgas Dzemdību nams;7;0;0;7;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;55;4;4;51;0;0;4;0;1;0;0;0;0
2022-02-02T00:00:00;801400002-01;Saulkrastu veselības un sociālās aprūpes centrs;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-02T00:00:00;801600003-01;Siguldas slimnīca;1;0;0;1;0;0;1;0;0;0;4;0;0
2022-02-02T00:00:00;090012101-01;Slimnīca "Ģintermuiža";16;;4;12;0;0;0;;;;;;
2022-02-02T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;6;3;;6;;;;;3;;;;
2022-02-02T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;6;1;0;6;0;0;1;0;0;0;;;
2022-02-02T00:00:00;900200046-01;Tukuma slimnīca;23;3;21;2;4;2;17;0;1;0;0;0;0
2022-02-02T00:00:00;250000092-01;Vidzemes slimnīca;20;6;17;3;;;17;1;3;1;;1;
2022-02-02T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;8;;7;1;;0;8;0;1;0;0;0;0
2022-02-02T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;22;7;19;3;0;0;19;0;3;0;0;0;0
2022-02-03T00:00:00;320200001-01;Aizkraukles slimnīca;6;1;0;6;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;360200027-01;Alūksnes slimnīca;0;0;0;7;0;0;0;0;4;0;0;0;0
2022-02-03T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;15;2;7;8;3;2;12;0;2;0;0;0;0
2022-02-03T00:00:00;400200024-01;Bauskas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;1
2022-02-03T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;13;6;10;3;;;13;;1;;;;2
2022-02-03T00:00:00;661400011-01;Bērnu psihoneiroloģiskā slimnīca "Ainaži";13;12;13;1;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;420200052-01;Cēsu klīnika;11;0;11;0;1;1;10;0;3;0;0;;0
2022-02-03T00:00:00;050012101-01;Daugavpils psihoneiroloģiskā slimnīca;5;0;3;2;0;0;0;0;0;2;0;0;2
2022-02-03T00:00:00;050012101-02;Daugavpils psihoneiroloģiskās slimnīcas Aknīstes slimnīca;1;0;;1;;;1;;;;;;
2022-02-03T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;92;18;72;20;3;;69;1;8;;;;
2022-02-03T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-03T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;29;2;26;0;3;2;26;0;4;0;0;0;0
2022-02-03T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;52;8;48;4;10;0;38;2;4;2;0;2;0
2022-02-03T00:00:00;130020302-01;Jūrmalas slimnīca;7;1;7;;;;7;;;;;;
2022-02-03T00:00:00;600200001-01;Krāslavas slimnīca;3;2;0;3;0;0;3;0;0;0;0;0;0
2022-02-03T00:00:00;620200038-01;Kuldīgas slimnīca;5;3;4;1;;;5;;2;;;;
2022-02-03T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;25;;25;;;;25;;5;;;;
2022-02-03T00:00:00;170020401-01;Liepājas reģionālā slimnīca;29;5;10;19;0;0;10;1;0;0;0;0;0
2022-02-03T00:00:00;660200027-01;Limbažu slimnīca;11;4;4;;;;;;;;;;
2022-02-03T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;680200030-01;Ludzas medicīnas centrs;16;1;16;0;0;0;0;0;5;0;0;0;0
2022-02-03T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
2022-02-03T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;148;27;94;54;23;11;71;3;20;1;0;1;0
2022-02-03T00:00:00;170010601-01;Piejūras slimnīca;1;1;0;1;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;010000234-91;RAKUS kopā;265;36;102;163;26;2;76;4;27;5;;5;
2022-02-03T00:00:00;210020301-01;Rēzeknes slimnīca;8;0;8;0;0;0;8;0;2;0;0;0;0
2022-02-03T00:00:00;010020302-01;Rīgas 2. slimnīca;19;1;0;19;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;010021301-01;Rīgas Dzemdību nams;7;0;0;7;0;0;0;0;0;0;0;0;0
2022-02-03T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;56;4;1;55;0;0;1;0;0;0;0;0;0
2022-02-03T00:00:00;801600003-01;Siguldas slimnīca;1;1;0;2;0;0;1;0;0;0;4;0;0
2022-02-03T00:00:00;090012101-01;Slimnīca "Ģintermuiža";24;;3;21;0;0;0;;;;;;
2022-02-03T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;6;1;;6;;;;;1;;;;
2022-02-03T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;8;3;0;8;0;0;1;0;1;0;;;
2022-02-03T00:00:00;900200046-01;Tukuma slimnīca;21;0;21;0;5;2;16;0;2;0;0;0;0
2022-02-03T00:00:00;250000092-01;Vidzemes slimnīca;17;4;13;4;;;13;1;6;;;;
2022-02-03T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;10;2;9;1;;0;10;0;1;0;0;0;0
2022-02-03T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;21;4;17;4;0;0;17;0;4;0;0;0;0
2022-02-04T00:00:00;320200001-01;Aizkraukles slimnīca;6;1;0;6;0;0;0;0;0;1;1;0;0
2022-02-04T00:00:00;360200027-01;Alūksnes slimnīca;2;2;0;9;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;15;2;8;7;3;2;12;0;2;0;0;0;0
2022-02-04T00:00:00;400200024-01;Bauskas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;12;1;9;3;1;;11;;2;;;;2
2022-02-04T00:00:00;661400011-01;Bērnu psihoneiroloģiskā slimnīca "Ainaži";13;12;13;1;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;420200052-01;Cēsu klīnika;14;5;14;0;0;0;14;1;1;0;0;;0
2022-02-04T00:00:00;050012101-01;Daugavpils psihoneiroloģiskā slimnīca;6;1;3;3;0;0;1;0;0;0;0;0;0
2022-02-04T00:00:00;050012101-02;Daugavpils psihoneiroloģiskās slimnīcas Aknīstes slimnīca;1;0;;1;;;1;;;;;;
2022-02-04T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;101;20;72;29;3;;69;;11;;;;
2022-02-04T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-04T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;38;10;34;4;3;2;31;0;1;0;0;0;0
2022-02-04T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;52;8;49;3;10;0;39;2;4;2;0;2;0
2022-02-04T00:00:00;600200001-01;Krāslavas slimnīca;4;1;0;4;0;0;4;0;0;0;0;0;0
2022-02-04T00:00:00;620200038-01;Kuldīgas slimnīca;5;1;4;1;;;5;;1;;;;
2022-02-04T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;25;;25;;;;25;;;;;;
2022-02-04T00:00:00;170020401-01;Liepājas reģionālā slimnīca;30;2;10;20;0;0;10;0;1;0;0;0;0
2022-02-04T00:00:00;660200027-01;Limbažu slimnīca;12;1;4;8;;;;;;;7;;
2022-02-04T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;680200030-01;Ludzas medicīnas centrs;16;1;16;0;0;0;0;0;5;0;0;0;0
2022-02-04T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
2022-02-04T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;152;17;95;57;25;10;70;1;11;1;0;1;0
2022-02-04T00:00:00;170010601-01;Piejūras slimnīca;2;1;0;2;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;010000234-91;RAKUS kopā;271;36;105;166;26;2;79;2;28;;;;
2022-02-04T00:00:00;210020301-01;Rēzeknes slimnīca;13;6;13;0;0;0;13;0;1;0;0;0;0
2022-02-04T00:00:00;010020302-01;Rīgas 2. slimnīca;19;0;0;19;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;010021301-01;Rīgas Dzemdību nams;10;0;0;10;0;0;0;0;0;0;0;0;0
2022-02-04T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;58;7;0;58;0;0;0;0;3;0;0;0;0
2022-02-04T00:00:00;801600003-01;Siguldas slimnīca;1;0;0;0;0;0;0;0;1;0;0;0;0
2022-02-04T00:00:00;090012101-01;Slimnīca "Ģintermuiža";24;;3;21;0;0;0;;;;;;
2022-02-04T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;5;;;5;;;;;1;;;;
2022-02-04T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;8;0;0;8;0;0;1;0;;0;;;
2022-02-04T00:00:00;900200046-01;Tukuma slimnīca;16;0;16;0;6;2;10;0;5;0;0;0;0
2022-02-04T00:00:00;250000092-01;Vidzemes slimnīca;20;5;14;6;;;14;;1;1;;1;
2022-02-04T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;10;2;9;1;;0;10;0;1;0;0;0;0
2022-02-04T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;19;2;16;3;0;0;16;0;4;0;0;0;0
2022-02-05T00:00:00;320200001-01;Aizkraukles slimnīca;7;1;0;7;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;360200027-01;Alūksnes slimnīca;0;0;0;8;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;13;0;6;7;2;1;11;1;1;0;0;0;0
2022-02-05T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;9;4;7;1;1;;8;;7;;;;2
2022-02-05T00:00:00;420200052-01;Cēsu klīnika;12;;12;0;0;0;12;;;0;0;;0
2022-02-05T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;83;11;61;22;3;;58;4;25;;;;
2022-02-05T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-05T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;36;7;28;8;3;2;33;0;9;0;0;0;0
2022-02-05T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;47;7;44;3;8;0;36;2;10;0;0;0;
2022-02-05T00:00:00;130020302-01;Jūrmalas slimnīca;10;3;10;;;;10;;;;;;
2022-02-05T00:00:00;600200001-01;Krāslavas slimnīca;5;4;0;5;0;0;5;0;3;0;0;0;0
2022-02-05T00:00:00;620200038-01;Kuldīgas slimnīca;5;;4;1;;;5;;;;;;
2022-02-05T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;20;;20;;;;20;;7;;;;
2022-02-05T00:00:00;170020401-01;Liepājas reģionālā slimnīca;32;6;11;21;0;0;11;0;4;0;0;0;0
2022-02-05T00:00:00;660200027-01;Limbažu slimnīca;12;;4;8;;;;;;;7;;
2022-02-05T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;680200030-01;Ludzas medicīnas centrs;14;1;14;0;0;0;0;0;3;0;0;0;0
2022-02-05T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
2022-02-05T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;138;20;86;52;24;10;62;2;29;3;0;3;0
2022-02-05T00:00:00;170010601-01;Piejūras slimnīca;2;1;0;2;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;010000234-91;RAKUS kopā;268;40;105;163;24;2;81;1;38;3;;3;
2022-02-05T00:00:00;210020301-01;Rēzeknes slimnīca;12;2;12;0;0;0;12;0;3;0;0;0;0
2022-02-05T00:00:00;010020302-01;Rīgas 2. slimnīca;15;0;0;15;0;0;0;0;4;0;0;0;0
2022-02-05T00:00:00;010021301-01;Rīgas Dzemdību nams;9;0;0;9;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;39;4;0;39;0;0;0;0;0;0;0;0;0
2022-02-05T00:00:00;090012101-01;Slimnīca "Ģintermuiža";24;;3;21;0;0;0;;;;;;
2022-02-05T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;5;;;5;;;;;;;;;
2022-02-05T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;8;0;0;8;0;0;1;0;;0;;;
2022-02-05T00:00:00;900200046-01;Tukuma slimnīca;18;4;16;2;5;1;12;1;1;0;0;0;0
2022-02-05T00:00:00;250000092-01;Vidzemes slimnīca;19;5;15;4;;;15;;6;;;;
2022-02-05T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;10;0;9;1;;0;10;0;0;0;0;0;0
2022-02-05T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;17;1;14;3;0;0;14;0;4;0;0;0;0
2022-02-06T00:00:00;320200001-01;Aizkraukles slimnīca;7;0;0;7;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;360200027-01;Alūksnes slimnīca;0;0;0;8;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;14;1;6;8;2;1;12;;;0;0;0;0
2022-02-06T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;11;4;9;1;1;;10;;2;;;;2
2022-02-06T00:00:00;420200052-01;Cēsu klīnika;15;2;15;0;1;0;14;;;0;0;;0
2022-02-06T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;91;9;68;23;3;;65;1;;;;;
2022-02-06T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-06T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;44;10;33;11;4;3;40;1;1;0;0;0;0
2022-02-06T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;55;9;43;4;8;0;47;1;0;0;0;0;
2022-02-06T00:00:00;130020302-01;Jūrmalas slimnīca;10;3;10;;;;10;;;;;;
2022-02-06T00:00:00;600200001-01;Krāslavas slimnīca;6;1;0;6;0;0;6;0;0;0;0;0;0
2022-02-06T00:00:00;620200038-01;Kuldīgas slimnīca;5;;4;1;;;5;;;;;;
2022-02-06T00:00:00;170020401-01;Liepājas reģionālā slimnīca;34;3;10;24;0;0;10;0;1;0;0;0;0
2022-02-06T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;680200030-01;Ludzas medicīnas centrs;14;;14;0;0;0;0;0;;0;0;0;0
2022-02-06T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
2022-02-06T00:00:00;010011803-01;Paula Stradiņa klīniskā universitātes slimnīca;142;21;90;52;24;10;66;7;9;0;0;0;0
2022-02-06T00:00:00;170010601-01;Piejūras slimnīca;2;1;0;2;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;010000234-91;RAKUS kopā;283;29;114;169;22;2;92;10;4;;;;
2022-02-06T00:00:00;210020301-01;Rēzeknes slimnīca;12;3;12;0;0;0;12;1;2;0;0;0;0
2022-02-06T00:00:00;010020302-01;Rīgas 2. slimnīca;16;1;0;16;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;010021301-01;Rīgas Dzemdību nams;11;0;0;11;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;010012202-01;Rīgas psihiatrijas un narkoloģijas centrs;42;3;0;42;0;0;0;0;0;0;0;0;0
2022-02-06T00:00:00;090012101-01;Slimnīca "Ģintermuiža";24;;4;20;0;0;0;;;;;;
2022-02-06T00:00:00;941800004-01;Strenču psihoneiroloģiskā slimnīca;5;;;5;;;;;;;;;
2022-02-06T00:00:00;010011401-01;Traumatoloģijas un ortopēdijas slimnīca;7;0;0;7;0;0;1;0;1;0;;;
2022-02-06T00:00:00;900200046-01;Tukuma slimnīca;22;4;20;2;7;1;13;0;0;0;0;0;0
2022-02-06T00:00:00;250000092-01;Vidzemes slimnīca;20;3;17;3;;;17;;2;;;;
2022-02-06T00:00:00;270020302-07;Ziemeļkurzemes reģionālā slimnīca, Talsi;10;0;9;1;;0;10;0;0;0;0;0;0
2022-02-06T00:00:00;270020302-01;Ziemeļkurzemes reģionālā slimnīca, Ventspils;17;1;14;3;0;0;14;0;1;0;0;0;0
2022-02-07T00:00:00;320200001-01;Aizkraukles slimnīca;7;0;0;7;0;0;0;0;0;0;0;0;0
2022-02-07T00:00:00;360200027-01;Alūksnes slimnīca;0;0;0;8;0;0;0;0;0;0;0;0;0
2022-02-07T00:00:00;500200052-02;Balvu un Gulbenes slimnīcu apvienība;14;1;7;7;2;1;12;1;;0;0;0;0
2022-02-07T00:00:00;010011804-01;Bērnu klīniskā universitātes slimnīca;13;2;11;1;1;;12;;0;;;;2
2022-02-07T00:00:00;661400011-01;Bērnu psihoneiroloģiskā slimnīca "Ainaži";13;12;13;1;0;0;0;0;0;0;0;0;0
2022-02-07T00:00:00;420200052-01;Cēsu klīnika;16;3;15;0;1;0;15;;;0;0;;0
2022-02-07T00:00:00;050012101-01;Daugavpils psihoneiroloģiskā slimnīca;17;12;3;14;0;0;12;0;0;1;0;0;1
2022-02-07T00:00:00;050012101-02;Daugavpils psihoneiroloģiskās slimnīcas Aknīstes slimnīca;;0;;1;;;;;;;;;
2022-02-07T00:00:00;050020401-01;Daugavpils reģionālā slimnīca;98;11;70;29;3;;67;2;2;;;;
2022-02-07T00:00:00;460200036-01;Dobeles un apkārtnes slimnīca;1;0;0;1;0;0;1;0;0;0;0;0;0
2022-02-07T00:00:00;110000048-01;Jēkabpils reģionālā slimnīca;46;5;35;11;5;4;30;1;2;0;0;0;0
2022-02-07T00:00:00;090020301-01;Jelgavas pilsētas slimnīca;63;10;57;6;8;1;49;2;0;0;0;0;0
2022-02-07T00:00:00;600200001-01;Krāslavas slimnīca;6;1;0;6;0;0;6;0;1;0;0;0;0
2022-02-07T00:00:00;620200038-01;Kuldīgas slimnīca;11;6;9;2;1;;5;;;;;;
2022-02-07T00:00:00;010040307-01;Latvijas Jūras medicīnas centrs;20;;20;;;;20;1;;;;;
2022-02-07T00:00:00;170020401-01;Liepājas reģionālā slimnīca;34;2;12;22;0;0;12;1;1;0;0;0;0
2022-02-07T00:00:00;660200027-01;Limbažu slimnīca;14;2;11;3;0;0;14;;;;7;;
2022-02-07T00:00:00;761200001-01;Līvānu slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;0
2022-02-07T00:00:00;680200030-01;Ludzas medicīnas centrs;14;;14;0;0;0;0;0;;0;0;0;0
2022-02-07T00:00:00;700200041-01;Madonas slimnīca;0;0;0;0;0;0;0;0;0;0;0;0;2
